,date,place,race_num,race_rank,position,goal,id,name,tenji,shinnyu,start,time,weather,wind_dir,wind_st,wave,kimarite,age,belongs,weight,player_rank,country_win,country_sub,local_win,local_sub,motor,boat
0,180101,常滑,1,予選,1,1,4062,後藤陽介,6.76,1,0.15,1.50.0,晴,北西,3,3,逃げ,38,愛知,54,B1,5.25,34.23,4.71,33.33,33.33,34.51
1,180101,常滑,1,予選,2,5,4915,彦坂径冶,6.79,2,0.14,.,晴,北西,3,3,逃げ,21,愛知,55,B2,1.34,0.0,1.58,5.56,35.71,35.96
2,180101,常滑,1,予選,3,2,4731,間野兼礼,6.74,3,0.14,1.50.6,晴,北西,3,3,逃げ,28,愛知,51,B1,3.76,16.33,5.28,33.58,8.33,41.38
3,180101,常滑,1,予選,4,3,3535,渡修平,6.83,4,0.18,1.53.2,晴,北西,3,3,逃げ,45,兵庫,51,B1,4.36,22.55,5.27,39.02,37.5,31.53
4,180101,常滑,1,予選,5,4,3867,松浦勝,6.76,5,0.15,1.54.2,晴,北西,3,3,逃げ,42,愛知,55,B1,4.69,25.26,4.88,21.74,35.71,41.03
5,180101,常滑,1,予選,6,6,4860,伏見卓,6.76,6,0.19,.,晴,北西,3,3,逃げ,29,愛知,53,B1,4.63,26.51,3.04,8.93,18.75,35.24
6,180101,常滑,2,予選,1,1,3236,田上晋六,6.7,1,0.07,1.49.9,晴,北西,4,4,逃げ,55,東京,51,B1,4.94,30.68,5.71,38.71,16.67,36.19
7,180101,常滑,2,予選,2,2,4086,寺本重宣,6.74,2,0.08,1.50.4,晴,北西,4,4,逃げ,37,東京,49,A1,6.56,51.2,6.82,60.61,58.33,44.25
8,180101,常滑,2,予選,3,6,3608,森仁志,6.79,3,0.2,.,晴,北西,4,4,逃げ,45,愛知,49,B1,3.76,16.0,4.38,23.4,35.71,35.4
9,180101,常滑,2,予選,4,4,4565,西村豪洋,6.66,4,0.17,1.53.7,晴,北西,4,4,逃げ,30,愛知,52,B1,4.93,27.1,4.61,22.95,71.43,32.43
